ID,SchoolName,District,Level
1,albuquerque district,albuquerque,district
2,reserve district,reserve,district
3,quemado district,quemado,district
4,roswell district,roswell,district
5,hagerman district,hagerman,district
6,dexter district,dexter,district
7,lake arthur district,lake arthur,district
8,cimarron district,cimarron,district
9,raton district,raton,district
10,springer district,springer,district
11,maxwell district,maxwell,district
12,clovis district,clovis,district
13,texico district,texico,district
14,melrose district,melrose,district
15,grady district,grady,district
16,fort sumner district,ft sumner,district
17,las cruces district,las cruces,district
18,hatch valley dist,hatch,unknown level
19,gadsden district,gadsden,district
20,carlsbad district,carlsbad,district
21,loving district,loving,district
22,artesia district,artesia,district
23,silver city district,silver city,district
24,cobre district,cobre consolidated,district
25,santa rosa district,santa rosa,district
26,vaughn district,vaughn,district
27,roy district,roy,district
28,mosquero district,mosquero,district
29,lordsburg district,lordsburg,district
30,animas district,animas,district
31,lovington district,lovington,district
32,eunice district,eunice,district
33,hobbs district,hobbs,district
34,jal district,jal,district
35,tatum district,tatum,district
36,ruidoso district,ruidoso,district
37,carrizozo district,carrizozo,district
38,corona district,corona,district
39,hondo valley district,hondo,district
40,capitan district,capitan,district
41,los alamos district,los alamos,district
42,deming district,deming,district
43,gallup district,gallup,district
44,mora district,mora,district
45,wagon mound district,wagon mound,district
46,alamogordo district,alamogordo,district
47,tularosa district,tularosa,district
48,cloudcroft district,cloudcroft,district
49,tucumcari district,tucumcari,district
50,house district,house,district
51,logan district,logan,district
52,san jon district,san jon,district
53,chama valley district,chama,district
54,dulce district,dulce,district
55,espanola district,espanola,district
56,jemez mtn district,jemez mountain,district
57,portales district,portales,district
58,elida district,elida,district
59,floyd district,floyd,district
60,dora district,dora,district
61,bernalillo district,bernalillo,district
62,cuba district,cuba,district
63,jemez valley district,jemez valley,district
64,aztec district,aztec,district
65,farmington district,farmington,district
66,bloomfield district,bloomfield,district
67,central district,central consolidated,district
68,west las vegas dist office,west las vegas,unknown level
69,las vegas city dist office,las vegas city,unknown level
70,pecos district,pecos,district
71,santa fe district,santa fe,district
72,pojoaque district,pojoaque,district
73,t or c district,truth or cons.,district
74,socorro district,socorro,district
75,magdalena district,magdalena,district
76,taos district,taos,district
77,penasco district,penasco,district
78,mesa vista district,mesa vista,district
79,questa district,questa,district
80,estancia district,estancia,district
81,moriarty-edgewood district,moriarty-edgewood,district
82,mountainair district,mountainair,district
83,rio rancho district,rio rancho,district
84,clayton district,clayton,district
85,des moines district,des moines,district
86,los lunas district,los lunas,district
87,belen district,belen,district
88,grants district,grants,district
89,zuni district,zuni,district
501,media arts collaborative charter district,media arts collaborative charter,district charter/special
502,cottonwood classical prep,albuquerque,unknown level charter/special
503,horizon academy west district,horizon academy west,district charter/special
504,north valley academy district,north valley academy charter,district charter/special
505,school of dreams academy district,school of dreams academy,district charter/special
509,nm school for the arts district,nm school for arts,district charter/special
510,taos academy district,taos academy,district charter/special
511,alma d'arte charter district,alma d'arte charter,district charter/special
512,cesar chavez community  school,cesar chavez community school,unknown level charter/special
515,south valley prep district,south valley prep,district charter/special
516,abq school of excellence district,abq school of excellence,district charter/special
517,abq sign language academy,abq sign language academy,unknown level charter/special
518,tierra adentro district,tierra adentro,district charter/special
519,the masters program district,the masters program,district charter/special
520,the ask academy district,the ask academy,district charter/special
521,taos integrated school of arts,taos integrated school of the arts,unknown level charter/special
524,albuquerque institute of math & science,albuquerque institute of math & science,unknown level charter/special
525,amy biehl charter 1,amy biehl charter 1,unknown level charter/special
528,albuquerque bilingual academy,albuquerque bilingual academy,unknown level charter/special
529,montessori elementary school,montessori elementary school,es charter/special
530,southwest preparatory learning center,southwest preparatory learning center,unknown level charter/special
531,southwest secondary learning center,southwest secondary learning center,unknown level charter/special
532,aldo leopold charter district,aldo leopold charter,district charter/special
535,j paul taylor academy,j paul taylor academy,unknown level charter/special
536,the great academy,the great academy,unknown level charter/special
539,red river valley charter school,red river valley charter school,unknown level charter/special
542,mission achievement and success,mission achievement and success,unknown level charter/special
544,sw aeronautics mathematics and science academy,sw aeronautics mathematics and science,unknown level charter/special
547,mccurdy charter school,mccurdy charter school,unknown level charter/special
549,new america school - las cruces,new america school - las cruces,unknown level charter/special
550,estancia valley classical academy,estancia valley classical academy,unknown level charter/special
552,walatowa charter high,walatowa charter high,hs charter/special
554,new mexico connections academy,new mexico connections academy,unknown level charter/special
555,nan,taos international school do,unknown level charter/special
557,explore academy,explore academy,unknown level charter/special
560,la academia dolores huerta,la academia dolores huerta,unknown level charter/special
562,deap,deap,unknown level charter/special
563,sandoval academy of bilingual education,sandoval academy of bilingual education,unknown level charter/special
564,monte del sol charter,monte del sol charter,unknown level charter/special
565,tierra encantada charter school,tierra encantada charter school,unknown level charter/special
566,turquoise trail charter school,turquoise trail charter school,unknown level charter/special
567,las montanas charter,las montanas charter,unknown level charter/special
568,six directions indigenous school,six directions indigenous school,unknown level charter/special
570,roots & wings community,roots and wings community,unknown level charter/special
573,hozho academy,hozho academy,unknown level charter/special
574,albuquerque collegiate charter school,albuquerque collegiate charter school,unknown level charter/special
575,altura preparatory school,altura preparatory school,unknown level charter/special
576,solare collegiate charter school,solare collegiate charter school,unknown level charter/special
577,raices del saber xinachtli community,raices del saber xinachtli community school,unknown level charter/special
578,middle college 1 charter - gallup,middle college 1 charter - gallup,unknown level charter/special
579,aces technical 1,aces technical charter school,unknown level charter/special
580,21st century public academy,21st century public academy,unknown level charter/special
581,explore academy las cruces,explore academy las cruces,unknown level charter/special
582,thrive community school,thrive community school,unknown level charter/special
583,rio grande academy of fine arts,rio grande academy of fine arts,unknown level charter/special
584,pecos cyber academy,pecos cyber academy,unknown level charter/special
585,vista grande high school,vista grande high school,hs charter/special
586,nan,explore academy - rio rancho,unknown level charter/special
1006,native american community academy,albuquerque,unknown level
1016,albuquerque talent development charter,albuquerque,unknown level
1017,los puentes charter,albuquerque,unknown level
1024,east mountain high school,albuquerque,hs
1025,south valley academy,albuquerque,unknown level
1028,corrales international,albuquerque,unknown level
1030,gordon bernell charter,albuquerque,unknown level
1039,mark armijo academy,albuquerque,unknown level
1047,public academy for performing arts,albuquerque,unknown level
1051,robert f. kennedy charter,albuquerque,unknown level
1061,la academia de esperanza,albuquerque,unknown level
1063,digital arts and technology academy,albuquerque,unknown level
1069,el camino real academy,albuquerque,unknown level
1090,abq charter academy,albuquerque,unknown level
1095,montessori of the rio grande,albuquerque,unknown level
1098,mountain mahogany community school,albuquerque,unknown level
1116,alice king community school,albuquerque,unknown level
1118,christine duncan heritage academy,albuquerque,unknown level
1203,dennis chavez elementary,albuquerque,es
1206,adobe acres elementary,albuquerque,es
1207,alameda elementary,albuquerque,es
1210,alamosa elementary,albuquerque,es
1213,alvarado elementary,albuquerque,es
1214,apache elementary,albuquerque,es
1215,armijo elementary,albuquerque,es
1216,atrisco elementary,albuquerque,es
1217,john baker elementary,albuquerque,es
1219,edmund g ross elementary,albuquerque,es
1221,hubert h humphrey elementary,albuquerque,es
1222,bandelier elementary,albuquerque,es
1225,barcelona elementary,albuquerque,es
1227,onate elementary,albuquerque,es
1228,bel-air elementary,albuquerque,es
1229,bellehaven elementary,albuquerque,es
